gene_0001	seripauperin PAU8
gene_4814	Yhm2p
gene_4815	ribosomal 60S subunit protein L20A
gene_4816	hypothetical protein
gene_4817	Zn(2+) transporter ZRC1
gene_4818	hypothetical protein
gene_4819	Coa6p
gene_4820	long-chain fatty acid-CoA ligase FAA4
gene_4822	ubiquitin-protein ligase RKR1
gene_4824	hypothetical protein
gene_4825	glutamate decarboxylase GAD1
gene_4826	omega-class glutathione transferase
gene_4827	Hor7p
gene_4828	hypothetical protein
gene_4829	hypothetical protein
gene_4830	hypothetical protein
gene_4831	Gfd1p
gene_4832	cytochrome c oxidase subunit VII
gene_4833	Pet111p
gene_4834	Roy1p
gene_4835	tRNA methylation protein TRM732
gene_4836	Tif11p
gene_4837	trehalose 6-phosphate synthase/phosphatase complex subunit
gene_4838	putative endodeoxyribonuclease
gene_4839	Sap30p
gene_4840	Cue1p
gene_4841	hypothetical protein
gene_4842	Rsn1p
gene_4843	inorganic diphosphatase PPA2
gene_4844	U6 snRNP complex subunit PRP24
gene_4845	Tma23p
gene_4846	Rrn9p
gene_4847	orotate phosphoribosyltransferase URA10
gene_4849	fatty acid alpha-hydroxylase
gene_4850	hypothetical protein
gene_4851	Zds1p
gene_4852	CAAX prenyl protease
gene_4853	ubiquitin-ubiquitin ligase BUL1
gene_4854	Dsk2p
gene_4855	protein serine/threonine phosphatase
gene_4856	phosphoribomutase PRM15
gene_4857	hypothetical protein
gene_4858	DNA-binding transcription factor CAT8
gene_4859	N-acetylglucosaminylphosphatidylinositol deacetylase
gene_4860	Aep2p
gene_4861	tRNA A64-2'-O-ribosylphosphate transferase
gene_4863	ATP-dependent DNA helicase YKU70
gene_4864	RNA exonuclease
gene_4865	mitochondrial 54S ribosomal protein YmL33
gene_4866	Dss1p
gene_4867	U2 snRNP complex subunit HSH155
gene_4868	aminodeoxychorismate lyase ABZ2
gene_4869	ATP-dependent RNA helicase HAS1
gene_4870	protein kinase TDA1
gene_4871	Got1p
gene_4872	glutamyl-tRNA(Gln) amidotransferase subunit HER2
gene_4873	Jnm1p
gene_4874	hypothetical protein
gene_4875	serine C-palmitoyltransferase LCB1
gene_4876	carboxypeptidase C PRC1
gene_4877	sphingosine N-acyltransferase subunit LIP1
gene_4878	dynein light intermediate chain
gene_4879	amidophosphoribosyltransferase
gene_4880	ATP-binding cassette Fe/S cluster precursor transporter ATM1
gene_4881	Yme2p
gene_4882	alcohol dehydrogenase ADH2
gene_4883	ubiquitin-specific protease UBP15
gene_4884	putative family 17 glucosidase
gene_4885	putative 1,3-beta-D-glucan synthase
gene_4886	1,3-beta-glucanosyltransferase GAS1
gene_4887	Pse1p
gene_4888	translation initiation factor eIF3 core subunit c
gene_4889	putative methyltransferase
gene_4890	Glc8p
gene_4891	Elongator subunit ELP6
gene_4892	bifunctional triglyceride lipase/lysophosphatidylethanolamine acyltransferase
gene_4893	proteasome core particle subunit alpha 6
gene_4894	hypothetical protein
gene_4895	hypothetical protein
gene_4896	Dia1p
gene_4897	hypothetical protein
gene_4898	hypothetical protein
gene_4899	NADP-dependent alcohol dehydrogenase
gene_4900	Fet4p
gene_4901	hypothetical protein
gene_4902	hypothetical protein
gene_4903	glutathione-independent methylglyoxalase family protein
gene_4904	phosphopyruvate hydratase ERR3
gene_4905	seripauperin PAU19
gene_4906	Y' element ATP-dependent helicase protein 1 copy 6
gene_4907	Cos1p
gene_4908	cyanamide hydratase
gene_4909	putative pyridoxal 5'-phosphate synthase
gene_4910	pyridoxine biosynthesis protein SNZ2
gene_4911	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
gene_4912	putative aryl-alcohol dehydrogenase
gene_4913	histone deacetylase RPD3
gene_4914	AAA family ATPase peroxin 6
gene_4915	Mdj2p
gene_4916	Egt2p
gene_4917	palmitoyltransferase PFA3
gene_4918	phosphatidylinositol-3,5-bisphosphate 5-phosphatase
gene_4919	Lem3p
gene_4920	Kre1p
gene_4921	Vnx1p
gene_4922	hypothetical protein
gene_4923	Hxt14p
gene_4924	cleavage polyadenylation factor subunit PFS2
gene_4925	prephenate dehydratase PHA2
gene_4926	Atp11p
gene_4927	Dal82p
gene_4928	tetratricopeptide repeat-containing protein EMW1
gene_4929	Rfa2p
gene_4930	putative SCF ubiquitin ligase complex subunit SKP2
gene_4931	Zim17p
gene_4932	Stb1p
gene_4933	Kri1p
gene_4934	serine/threonine/tyrosine protein kinase MCK1
gene_4935	mitochondrial 37S ribosomal protein YmS18
gene_4936	Bxi1p
gene_4937	Rab family GTPase YPT11
gene_4938	ribosomal 40S subunit protein S19B
gene_4939	ribosomal 60S subunit protein L18B
gene_4940	Tos6p
gene_4941	non-canonical poly(A) polymerase TRF5
gene_4942	serine/threonine protein kinase CLA4
gene_4943	Mon2p
gene_4944	Mrx6p
gene_4945	Rim21p
gene_4946	Rab GTPase-activating protein MSB3
gene_4947	pseudouridine synthase PUS4
gene_4948	Mid1p
gene_4949	replication factor C subunit 3
gene_4950	Pcl1p
gene_4952	CCR4-NOT core subunit CAF40
gene_4953	coatomer subunit gamma
gene_4954	U2 snRNP complex subunit CUS2
gene_4956	gag-pol fusion protein
gene_4957	gag protein
gene_4959	mitochondrial 54S ribosomal protein YmL10/YmL18
gene_4961	Wsc2p
gene_4962	Pop3p
gene_4963	Hch1p
gene_4964	delta(14)-sterol reductase
gene_4965	pheromone-regulated protein PRM1
gene_4966	Caf120p
gene_4967	hypothetical protein
gene_4968	homoserine O-acetyltransferase
gene_4969	Bor1p
gene_4970	glyoxylate reductase
gene_4971	Tof1p
gene_4972	guanine nucleotide exchange factor SEC2
gene_4973	formin BNI1
gene_4974	arginine permease ALP1
gene_4975	Bsc4p
gene_4976	lysine permease
gene_4977	1-phosphatidylinositol 4-kinase
gene_4978	Ist1p
gene_4979	phosphatidylinositol transporter
gene_4980	Yif1p
gene_4981	DNA polymerase epsilon catalytic subunit
gene_4982	origin recognition complex subunit 5
gene_4983	ribosome biosynthesis protein LTO1
gene_4984	copper metallochaperone ATX1
gene_4985	Dsl1p
gene_4986	Sip3p
gene_4987	trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1
gene_4988	mRNA-binding translational activator GIS2
gene_4989	Rtc4p
gene_4990	Tex1p
gene_4991	mitochondrial 54S ribosomal protein YmL17/YmL30
gene_4992	Nrd1 complex RNA-binding subunit
gene_4993	MRX complex DNA-binding subunit
gene_4994	Mpa43p
gene_4995	DNA-directed RNA polymerase I subunit RPA49
gene_4996	cysteine--tRNA ligase
gene_4997	Vps75p
gene_4998	U2-type spliceosomal complex subunit CWC25
gene_4999	translation initiation factor eIF1
gene_5000	Sla2p
gene_5001	Atg2p
gene_5002	glucose-6-phosphate dehydrogenase
gene_5003	Nar1p
gene_5004	bleomycin hydrolase
gene_5005	kexin KEX2
gene_5006	Ytp1p
gene_5007	Sin4p
gene_5008	hypothetical protein
gene_5009	Bni4p
gene_5010	exosome non-catalytic core subunit CSL4
gene_5011	phosphatidylinositol transporter
gene_5012	elongin A
gene_5013	Ure2p
gene_5014	Jjj1p
gene_5015	Cnm67p
gene_5016	Sqs1p
gene_5017	cysteine protease ATG4
gene_5018	RNA polymerase II subunit A C-terminal domain phosphatase
gene_5020	ribonuclease P/MRP protein subunit POP1
gene_5021	adenylosuccinate synthase
gene_5022	dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
gene_5023	ssDNA-dependent ATPase MGS1
gene_5024	putative serine/threonine-protein phosphatase
gene_5025	DNA-binding transcription factor RAP1
gene_5026	Ies2p
gene_5027	Pex17p
gene_5028	Rrg9p
gene_5029	Vid27p
gene_5030	Mrx7p
gene_5031	Mer1p
gene_5032	Hsp70 family ATPase SSB2
gene_5033	hypothetical protein
gene_5034	protein kinase RIO2
gene_5035	Rtt106p
gene_5036	Sps18p
gene_5037	Sps19p
gene_5038	Psy2p
gene_5039	NADHX epimerase
gene_5040	Gcr2p
gene_5041	mRNA-binding protein WHI3
gene_5042	Slz1p
gene_5043	hypothetical protein
gene_5044	hypothetical protein
gene_5045	hypothetical protein
gene_5046	chitin synthase CHS1
gene_5047	glutamine amidotransferase subunit DUG3
gene_5048	hypothetical protein
gene_5049	karyopherin alpha
gene_5050	Kar1p
gene_5051	Swt21p
gene_5052	ubiquitin-specific protease UBP10
gene_5053	mitochondrial 54S ribosomal protein YmL19
gene_5054	hypothetical protein
gene_5055	serine/threonine protein kinase NPR1
gene_5056	chromatin-binding/pre-rRNA-processing protein IPI3
gene_5057	putative oxidoreductase
gene_5058	Rho family GTPase RHO5
gene_5059	ribosomal 40S subunit protein S3
gene_5060	mitochondrial 54S ribosomal protein YmL22
gene_5061	Tda7p
gene_5062	Nop13p
gene_5063	Mdg1p
gene_5064	anaphase promoting complex subunit 1
gene_5065	phosphatidylserine decarboxylase 1
gene_5066	Fmp41p
gene_5067	Sko1p
gene_5068	Bni5p
gene_5069	hypothetical protein
gene_5070	Ibd2p
gene_5071	GTPase RIA1
gene_5072	hypothetical protein
gene_5073	ribosomal 60S subunit protein L42A
gene_5074	serine/threonine protein kinase CBK1
gene_5075	Ygp1p
gene_5076	Asi2p
gene_5077	Pga1p
gene_5078	phosphatase regulator
gene_5079	Nsg2p
gene_5080	Cuz1p
gene_5081	serine/threonine protein kinase YCK2
gene_5082	tubulin-binding prefolding complex subunit GIM3
gene_5083	Inn1p
gene_5084	DNA-directed RNA polymerase III subunit C31
gene_5085	Pga2p
gene_5086	Alf1p
gene_5087	Sm-like protein LSM7
gene_5088	hypothetical protein
gene_5089	hypothetical protein
gene_5090	mating pheromone a
gene_5091	hypothetical protein
gene_5092	hypothetical protein
gene_5093	ammonium permease MEP2
gene_5094	adenine deaminase
gene_5095	hypothetical protein
gene_5096	Tho2p
gene_5097	U2 snRNP complex subunit YSF3
gene_5098	adenylate cyclase-binding protein
gene_5099	mitochondrial 37S ribosomal protein NAM9
gene_5100	Eaf7p
gene_5101	peptidylprolyl isomerase FPR1
gene_5102	hypothetical protein
gene_5103	Fyv6p
gene_5105	ribosome biosynthesis protein KRE33
gene_5106	Tom22p
gene_5107	diacylglycerol cholinephosphotransferase
gene_5108	Dgr1p
gene_5109	ribosylnicotinamide kinase
gene_5110	putative phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
gene_5111	Far11p
gene_5112	Spc98p
gene_5113	Esbp6p
gene_5114	RNA-binding snoRNP assembly protein
gene_5115	Nma111p
gene_5116	hypothetical protein
gene_5117	protein channel TOM70
gene_5118	Ncs2p
gene_5119	decapping enzyme complex catalytic subunit
gene_5120	malate synthase MLS1
gene_5121	ubiquitin-conjugating protein DMA2
gene_5122	hypothetical protein
gene_5123	DNA-directed RNA polymerase core subunit RPC19
gene_5124	DEAD-box ATP-dependent RNA helicase DBP2
gene_5125	Cyb5p
gene_5126	rRNA-binding ribosome biosynthesis protein NOP15
gene_5127	hypothetical protein
gene_5128	Yaf9p
gene_5129	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP52
gene_5130	2-isopropylmalate synthase LEU4
gene_5131	Met4p
gene_5132	DNA-directed DNA polymerase alpha catalytic subunit POL1
gene_5133	Avt4p
gene_5134	Mic27p
gene_5135	putative tyrosine protein phosphatase OCA1
gene_5136	Ras family GTPase RAS2
gene_5137	hypothetical protein
gene_5138	Pho23p
gene_5140	ribosomal 40S subunit protein S7B
gene_5141	hypothetical protein
gene_5142	phosphatidate phosphatase APP1
gene_5143	Rab family GTPase YPT53
gene_5144	S-adenosylmethionine-dependent methyltransferase
gene_5145	Nst1p
gene_5146	Rho family GTPase RHO2
gene_5147	DNA topoisomerase 2
gene_5148	tricalbin
gene_5149	Snn1p
gene_5150	Mkt1p
gene_5151	End3p
gene_5152	Ca(2+)-binding ATP:ADP antiporter SAL1
gene_5153	ATP-binding mismatch repair protein
gene_5154	putative mitochondrial 37S ribosomal protein SWS2
gene_5155	Eos1p
gene_5156	tropomyosin TPM1
gene_5157	Nis1p
gene_5158	Apj1p
gene_5159	Mks1p
gene_5160	snoRNA-binding rRNA-processing protein IMP4
gene_5161	Mlf3p
gene_5162	lysine--tRNA ligase MSK1
gene_5163	ribonuclease H2 catalytic subunit RNH201
gene_5164	dihydrolipoyllysine-residue acetyltransferase
gene_5165	Tom7p
gene_5166	ribosomal 60S subunit protein L16B
gene_5167	forkhead family transcription factor FKH2
gene_5168	hypothetical protein
gene_5169	ribosomal 60S subunit protein L9B
gene_5170	putative glucosidase SUN4
gene_5171	Aqr1p
gene_5172	type I HSP40 co-chaperone YDJ1
gene_5173	S-adenosylmethionine-dependent methyltransferase
gene_5174	tRNA 1-methyladenosine methyltransferase subunit GCD10
gene_5175	rRNA (cytosine-C5-)-methyltransferase NOP2
gene_5176	Arp5p
gene_5177	hypothetical protein
gene_5178	Oca2p
gene_5179	porin POR1
gene_5181	gag-pol fusion protein
gene_5182	gag protein
gene_5183	Vac7p
gene_5184	tyrosine/serine/threonine protein phosphatase MSG5
gene_5185	cytochrome c oxidase subunit Va
gene_5186	Golgi transport complex subunit COG5
gene_5187	hypothetical protein
gene_5188	COPII subunit SFB2
gene_5189	alpha-1,2-mannosyltransferase ALG11
gene_5190	phosphatidylinositol 4,5-bisphosphate-binding protein
gene_5191	hypothetical protein
gene_5192	bifunctional aminopeptidase/epoxide hydrolase
gene_5193	Yip3p
gene_5195	hypothetical protein
gene_5196	Bop3p
gene_5197	Golgi transport complex subunit COG6
gene_5198	putative alanine--tRNA ligase
gene_5199	transcription factor TFIIIB subunit BDP1
gene_5200	phosphatidylinositol N-acetylglucosaminyltransferase GPI15
gene_5201	isocitrate dehydrogenase (NAD(+)) IDH1
gene_5202	carbonate dehydratase NCE103
gene_5205	hypothetical protein
gene_5207	hypothetical protein
gene_5208	hypothetical protein
gene_5209	putative tyrosine protein phosphatase SIW14
gene_5210	histone H3
gene_5211	histone H4
gene_5212	putative mannosyltransferase
gene_5213	DNA-binding transcription factor CRZ1
gene_5214	SAM complex subunit SAM50
gene_5215	cyclin-dependent protein serine/threonine kinase regulator SSN8
gene_5218	Ksh1p
gene_5219	putative protein-lysine N-methyltransferase
gene_5220	Fap1p
gene_5221	rRNA (cytosine-C5-)-methyltransferase RCM1
gene_5222	histone deacetylase HDA1
gene_5223	serine/threonine protein kinase ARK1
gene_5224	hypothetical protein
gene_5225	hypothetical protein
gene_5227	Pub1p
gene_5228	Pbi2p
gene_5229	translation elongation factor EF-3
gene_5230	putative carboxylic ester hydrolase
gene_5231	hypothetical protein
gene_5232	putative phosphoric monoester hydrolase
gene_5233	isocitrate dehydrogenase (NADP(+)) IDP3
gene_5234	putative ubiquitin-protein ligase ASI3
gene_5235	type II HSP40 co-chaperone SIS1
gene_5236	TOR complex subunit LST8
gene_5237	mitochondrial 54S ribosomal protein YmL2
gene_5238	mRNA-binding protein
gene_5239	Pet8p
gene_5240	Rlp7p
gene_5241	ribosome dissociation factor DOM34
gene_5242	citrate (Si)-synthase CIT1
gene_5245	putative ammonium permease ATO2
gene_5246	DNA-directed RNA polymerase III subunit C34
gene_5247	Swm2p
gene_5248	ESCRT-0 subunit protein VPS27
gene_5249	Atg3p
gene_5250	phospholipid:diacylglycerol acyltransferase
gene_5251	Nrm1p
gene_5252	Cse2p
gene_5253	DEAH-box RNA-dependent ATPase PRP2
gene_5254	uridine kinase URK1
gene_5255	Pho91p
gene_5256	hypothetical protein
gene_5257	Smm1p
gene_5258	acetyl-CoA carboxylase ACC1
gene_5259	protein transporter TIM23
gene_5260	Rcf2p
gene_5261	sterol acyltransferase
gene_5262	putative metalloprotease
gene_5263	hypothetical protein
gene_5264	mitochondrial 54S ribosomal protein MRPL50
gene_5265	Snf12p
gene_5266	Mpp6p
gene_5267	Sar family guanine nucleotide exchange factor SEC12
gene_5268	putative pyridoxal kinase BUD17
gene_5269	peptidylprolyl isomerase family protein CPR8
gene_5270	hypothetical protein
gene_5271	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
gene_5272	mitogen-activated protein kinase kinase kinase SSK2
gene_5273	putative serine/threonine-protein kinase PPG1
gene_5274	ubiquitin-like protein HUB1
gene_5275	4-amino-4-deoxychorismate synthase
gene_5276	Sol1p
gene_5277	Ego4p
gene_5278	Arc35p
gene_5279	putative mitochondrial 37S ribosomal protein MRPS12
gene_5280	mitochondrial 37S ribosomal protein RSM19
gene_5281	putative ATP-dependent RNA helicase DBP6
gene_5282	Zn(2+) transporter ZRG17
gene_5283	hypothetical protein
gene_5284	4-hydroxybenzoate octaprenyltransferase
gene_5285	diphosphomevalonate decarboxylase MVD1
gene_5286	Aga1p
gene_5287	Pet494p
gene_5288	RNA methylation protein TRM112
gene_5289	serine/threonine protein kinase FPK1
gene_5290	putative aminophospholipid translocase regulatory protein
gene_5291	Mso1p
gene_5292	saccharopine dehydrogenase (NADP+, L-glutamate-forming)
gene_5294	Bre5p
gene_5295	CCR4-NOT core DEDD family RNase subunit POP2
gene_5296	putative GTPase NOG2
gene_5298	RNA-binding ATPase activator ESF2
gene_5300	Hol1p
gene_5301	Bio5p
gene_5302	dethiobiotin synthase
gene_5303	adenosylmethionine-8-amino-7-oxononanoate transaminase
gene_5304	putative alpha-1,3-mannosyltransferase
gene_5305	ferric-chelate reductase
gene_5306	hypothetical protein
gene_5307	hypothetical protein
gene_5308	hypothetical protein
gene_5309	epoxide hydrolase
gene_5310	hypothetical protein
gene_5311	hypothetical protein
gene_5312	endo-1,3(4)-beta-glucanase
gene_5313	hypothetical protein
gene_5314	Bsc5p
gene_5315	ATP-binding cassette multidrug transporter PDR18
gene_5316	aldose 1-epimerase superfamily protein
gene_5317	hexose transporter HXT17
gene_5318	putative mannitol dehydrogenase
gene_5319	Aif1p
gene_5320	Cos10p
gene_5321	hypothetical protein
gene_5322	seripauperin PAU6
gene_5323	hypothetical protein
gene_5324	hypothetical protein
gene_5325	putative aryl-alcohol dehydrogenase
gene_5326	hypothetical protein
gene_5327	sulfuric ester hydrolase
gene_5328	hypothetical protein
gene_5329	hypothetical protein
gene_5330	seripauperin PAU20
gene_5331	hypothetical protein
gene_5332	hypothetical protein
gene_5333	Css3p
gene_5334	Enb1p
gene_5335	oligo-1,6-glucosidase IMA2
gene_5336	hexose transporter HXT11
gene_5337	hypothetical protein
gene_5338	mannoprotein
gene_5339	Zps1p
gene_5341	putative ferric-chelate reductase
gene_5342	methylglyoxal reductase (NADPH-dependent) GRE2
gene_5343	Dcp1p
gene_5344	Spt20p
gene_5345	Pex11p
gene_5346	DNA replication protein PSF3
gene_5347	Ctr9p
gene_5348	Nop8p
gene_5349	lumazine synthase RIB4
gene_5350	exosome non-catalytic core subunit RRP40
gene_5351	tRNA methyltransferase PPM2
gene_5352	acetylornithine transaminase
gene_5353	translation initiation factor eIF4E
gene_5354	Rtc1p
gene_5355	Bsc6p
gene_5356	6-phosphofructo-2-kinase
gene_5357	mediator complex subunit MED7
gene_5358	SCF ubiquitin ligase complex subunit HRT1
gene_5359	1,3-beta-glucanosyltransferase
gene_5360	hypothetical protein
gene_5361	Mg(2+) transporter ALR1
gene_5362	Vps68p
gene_5363	serine/threonine protein kinase YGK3
gene_5364	ribosomal 60S subunit protein L25
gene_5365	malate dehydrogenase MDH2
gene_5366	tRNA:m4X modification enzyme
gene_5367	tRNA (guanine-N2-)-methyltransferase
gene_5368	Hrp1p
gene_5369	divalent metal ion transporter SMF1
gene_5370	ribosomal 40S subunit protein S19A
gene_5371	ribosomal 60S subunit protein L18A
gene_5372	Mch4p
gene_5373	hypothetical protein
gene_5374	Rri2p
gene_5375	Msn1p
gene_5376	non-canonical poly(A) polymerase PAP2
gene_5377	Pth4p
gene_5378	putative serine/threonine protein kinase SKM1
gene_5379	Rab GTPase-activating protein MSB4
gene_5380	Mdy2p
gene_5381	Shr5p
gene_5382	Zeo1p
gene_5384	Ino4p
gene_5385	hypothetical protein
gene_5387	Wsc3p
gene_5388	Ndj1p
gene_5389	gag-pol fusion protein
gene_5390	gag protein
gene_5391	myo-inositol transporter ITR2
gene_5392	tRNA 2'-phosphotransferase
gene_5393	Izh4p
gene_5394	serine/threonine protein kinase PKH2
gene_5395	Sdd3p
gene_5397	hypothetical protein
gene_5398	tryptophan--tRNA ligase WRS1
gene_5399	hexaprenyldihydroxybenzoate methyltransferase
gene_5400	ATP-dependent 3'-5' DNA helicase
gene_5401	replication factor C subunit 4
gene_5402	tRNA (guanine(9)-N(1))-methyltransferase
gene_5403	cationic amino acid transporter
gene_5404	Spo21p
gene_5405	mismatch repair ATPase MSH2
gene_5406	Hal9p
gene_5407	protein disulfide isomerase MPD2
gene_5408	Duf1p
gene_5409	Mhf1p
gene_5410	alcohol dehydrogenase ADH1
gene_5411	hypothetical protein
gene_5412	Phm7p
gene_5413	Atg34p
gene_5414	Atg19p
gene_5415	Ras GTPase activating protein IRA2
gene_5416	putative 3'-5' exonuclease
gene_5417	Avo1p
gene_5418	F1F0 ATP synthase subunit k
gene_5419	Brx1p
gene_5420	Mdm20p
gene_5421	hypothetical protein
gene_5422	Dsc2p
gene_5423	Thp1p
gene_5424	succinate dehydrogenase assembly factor SDH5
gene_5425	Nba1p
gene_5426	kinetochore-associated Ndc80 complex subunit NUF2
gene_5427	histone deacetylase HST1
gene_5428	Rtg1p
gene_5429	bifunctional DRAP deaminase/tRNA pseudouridine synthase RIB2
gene_5430	phosphoinositide 5-phosphatase INP54
gene_5431	3'(2'),5'-bisphosphate nucleotidase
gene_5432	Crt10p
gene_5433	Apm4p
gene_5434	ribose phosphate diphosphokinase subunit PRS5
gene_5435	Mam3p
gene_5436	glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2
gene_5437	argininosuccinate synthase
gene_5438	dipeptidyl-peptidase III
gene_5439	phosphoglycerate mutase family protein GPM3
gene_5440	trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase
gene_5443	ubiquitin-protein ligase PSH1
gene_5444	Aim39p
gene_5445	Ddr2p
gene_5446	adenosylmethionine decarboxylase SPE2
gene_5448	Gal11p
gene_5449	glutathione synthase
gene_5450	Rrt8p
gene_5451	Lds2p
gene_5452	serine/threonine protein kinase PSK2
gene_5453	Pex15p
gene_5454	bifunctional N-glycosylase/AP lyase NTG2
gene_5455	RNA exonuclease
gene_5456	Nop12p
gene_5457	ribosomal 40S subunit protein S15
gene_5458	ribosomal protein P2A
gene_5459	hypothetical protein
gene_5460	proteasome core particle subunit alpha 4
gene_5461	hypothetical protein
gene_5463	DNA repair ATPase SMC5
gene_5464	glutamate--tRNA ligase MSE1
gene_5465	Opi10p
gene_5466	Sil1p
gene_5467	1,3-beta-glucanosyltransferase
gene_5468	hypothetical protein
gene_5469	Yap7p
gene_5470	ribosome-binding protein MDM38
gene_5471	Mim1p
gene_5473	Lag2p
gene_5474	hypothetical protein
gene_5475	translation initiation factor 2
gene_5476	Tsr4p
gene_5478	exosome catalytic subunit DIS3
gene_5479	aromatic amino acid transmembrane transporter TAT2
gene_5481	hypothetical protein
gene_5482	hypothetical protein
gene_5483	Tlg2p
gene_5484	Esc8p
gene_5485	calmodulin-dependent protein kinase CMK2
gene_5486	Irc10p
gene_5487	hypothetical protein
gene_5488	hypothetical protein
gene_5490	E3 ubiquitin-protein ligase HRD1
gene_5491	histone H2AZ
gene_5492	lysophospholipase
gene_5493	rRNA-processing endoribonuclease
gene_5494	ERMES complex subunit MDM12
gene_5495	ubiquinone-binding protein COQ10
gene_5496	Csi2p
gene_5497	DNA topoisomerase 1
gene_5498	DNA-directed RNA polymerase II core subunit RPB11
gene_5499	transcriptional regulator SIN3
gene_5500	palmitoyltransferase PFA4
gene_5501	PAQR-type receptor
gene_5502	Pho80p
gene_5503	exosome nuclease subunit RRP6
gene_5504	dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
gene_5505	putative subtilisin-like protease YSP3
gene_5506	rRNA-binding ribosome biosynthesis protein UTP23
gene_5507	DNA ligase (ATP) DNL4
gene_5508	Tsr3p
gene_5509	Sgt2p
gene_5511	Slg1p
gene_5512	hypothetical protein
gene_5513	Tir4p
gene_5514	putative GPI-anchored mannoprotein
gene_5515	ATP-binding cassette sterol transporter AUS1
gene_5517	hypothetical protein
gene_5518	hypothetical protein
gene_5519	protein phosphatase 2A regulatory subunit RTS1
gene_5520	hypothetical protein
gene_5521	Erp4p
gene_5522	Pet127p
gene_5523	Rod1p
gene_5524	hypothetical protein
gene_5525	Hsp10p
gene_5526	hypothetical protein
gene_5527	protein-arginine N-methyltransferase SFM1
gene_5528	putative carboxylic ester hydrolase
gene_5529	Ahc1p
gene_5530	NAD-dependent histone deacetylase HST3
gene_5531	Bub3p
gene_5532	Hsp90 cochaperone STI1
gene_5533	Cin5p
gene_5534	hypothetical protein
gene_5535	Dfg16p
gene_5537	Hms1p
gene_5538	hypothetical protein
gene_5539	Rad2 family nuclease EXO1
gene_5540	putative palmitoyltransferase AKR2
gene_5541	hypothetical protein
gene_5542	She4p
gene_5543	SNAP receptor PEP12
gene_5544	oxidoreductase
gene_5545	Hir2p
gene_5546	casein kinase 2 regulatory subunit CKB2
gene_5547	hydroxyacylglutathione hydrolase GLO4
gene_5549	ubiquitin-binding protein CUE5
gene_5551	Whi2p
gene_5552	Irc23p
gene_5553	Tom6p
gene_5554	ATP-dependent RNA helicase DBP5
gene_5555	Std1p
gene_5556	ssRNA exonuclease RAT1
gene_5557	phospholipid-translocating ATPase RSB1
gene_5558	Ett1p
gene_5559	Tmc1p
gene_5560	phosphopantothenoylcysteine decarboxylase complex subunit VHS3
gene_5561	rRNA-binding endoribonuclease
gene_5562	co-chaperone SGT1
gene_5563	Ase1p
gene_5565	putative hydrolase
gene_5566	Sld7p
gene_5567	casein kinase 2 catalytic subunit CKA2
gene_5568	hypothetical protein
gene_5569	ribosomal 60S subunit protein L3
gene_5570	Yng1p
gene_5571	ubiquinol--cytochrome-c reductase catalytic subunit CYT1
gene_5572	Msa1p
gene_5573	dolichyl-P-Glc:Glc1Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
gene_5574	sorting nexin 1
gene_5575	Vam10p
gene_5576	Gyp1p
gene_5577	nicotinamide riboside transporter
gene_5578	hypothetical protein
gene_5580	hypothetical protein
gene_5581	Sgo1p
gene_5582	thymidylate synthase
gene_5583	Ufe1p
gene_5584	Ski7p
gene_5585	Rts2p
gene_5586	Bud21p
gene_5587	Mn(2+) transporter ATX2
gene_5588	DNA-binding SCF ubiquitin ligase subunit DIA2
gene_5589	Tgl5p
gene_5590	transcriptional repressor WHI5
gene_5591	triglyceride lipase
gene_5592	dolichyl-diphosphooligosaccharide--protein glycotransferase OST3
gene_5593	tricalbin
gene_5595	Yvc1p
gene_5596	Rab family GTPase VPS21
gene_5597	type 2C protein phosphatase PTC5
gene_5598	Tma46p
gene_5599	putative ATPase ECM3
gene_5600	Cmr2p
gene_5601	Arf family GTPase ARF3
gene_5602	ribose-5-phosphate isomerase RKI1
gene_5603	ribosomal 40S subunit protein S7A
gene_5604	hypothetical protein
gene_5605	FG-nucleoporin NUP1
gene_5606	alpha-1,2-mannosyltransferase KTR1
gene_5607	carnitine:acyl carnitine antiporter
gene_5608	Ras family GTPase RAS1
gene_5609	dolichyl-diphosphooligosaccharide-protein glycotransferase
gene_5610	Pin2p
gene_5611	hypothetical protein
gene_5612	SNAP receptor VAM3
gene_5613	GTPase-activating protein RGS2
gene_5614	2-isopropylmalate synthase LEU9
gene_5615	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP53
gene_5616	transcription factor TFIIIC subunit TFC7
gene_5617	hypothetical protein
gene_5618	Cex1p
gene_5619	Azf1p
gene_5620	hypothetical protein
gene_5621	Trs33p
